,aid,view,danmaku,reply,favorite,coin,share
1160,1992,5942,60,6,11,0,1
1161,1995,6097,48,23,18,3,0
1162,1997,19315,288,45,26,5,0
1163,1998,6933,61,58,39,4,0
1164,1999,15454,84,64,27,3,2
1165,2000,11609,19,73,50,3,1
1166,2001,9310,97,52,78,7,0
1167,2002,8044,87,85,76,1,0
1168,2010,10839,211,14,6,1,0
1169,2005,2473,13,42,6,1,2
1170,2009,173418,185,75,67,2,0
1171,2006,2939,29,18,5,0,1
1172,2012,98474,86,80,96,19,3
1173,2007,12784,426,53,348,35,1
1174,2008,6492,55,21,13,2,1
1175,2018,961,17,166,8,5,3
1176,2013,68463,604,129,685,19,5
1177,2011,9571,30,12,23,3,0
1178,2022,1935,25,36,7,0,0
1179,2016,45746,70,284,52,11,5
1180,2026,922,20,15,1,0,0
1181,2019,1717,24,43,2,2,0
1182,2020,6653,166,73,168,7,0
1183,2031,1513,21,7,10,0,0
1184,2024,728,19,18,1,0,0
1185,2030,1104,6,11,6,0,2
1186,2029,4738,285,27,35,2,1
1187,2033,37236,737,71,161,23,42
1188,2038,26412,1181,107,142,25,2
1189,2040,4996,276,45,34,3,18
1190,2039,928,13,9,2,0,0
1191,2035,5094,137,20,20,2,1
1192,2041,5441,25,11,11,32,0
1193,2042,1082,30,4,3,1,0
1194,2043,2014,14,5,9,2,0
1195,2044,850,8,3,9,0,1
1196,2049,2240,48,14,21,0,0
1197,2046,63598,1167,34,393,24,12
1198,2048,8708,86,29,36,2,0
1199,2056,1820,18,5,1,0,1
1200,2051,3107,121,18,15,4,1
1201,2055,2162,178,12,14,6,2
1202,2052,2467,5,12,7,0,0
1203,2054,3042,68,13,10,2,0
1204,2053,-1,59385,14632,90797,18079,9440
1205,2065,21021,1082,25,71,0,0
1206,2061,2157,6,8,11,16,1
1207,2071,1411,77,14,3,0,1
1208,2073,1104,54,1,3,2,0
1209,2068,76,29,8,10,0,0
1210,2075,60424,838,26,89,9,0
1211,2072,1996,75,12,4,0,0
1212,2069,3562,201,38,27,5,0
1213,2080,1757,56,5,4,0,1
1214,2079,8615,302,94,159,5,3
1215,2076,603,28,4,3,0,0
1216,2078,2009,56,16,22,2,0
1217,2090,1059,34,6,0,0,0
1218,2085,6235,713,81,32,1,1
1219,2089,734,172,13,6,1,2
1220,2091,4263,434,50,29,7,2
1221,2082,5076,101,14,19,3,0
1222,2093,1862,102,12,8,1,0
1223,2092,4799,157,28,18,1,1
1224,2097,1227,41,11,0,0,1
1225,2096,1290,37,18,13,3,0
1226,2100,2654,48,28,3,0,0
1227,2094,16893,1569,79,118,1,0
1228,2101,60490,2089,205,442,43,5
1229,2105,116,104,9,2,0,0
1230,2107,1320,30,5,1,0,1
1231,2108,1359,28,12,7,0,0
1232,2119,13479,1180,32,79,6,1
1233,2109,2324,8,17,25,0,0
1234,2120,1420,23,10,4,0,0
1235,2113,2725,50,24,38,2,2
1236,2114,13025,1065,36,82,6,1
1237,2112,2852,138,8,14,1,0
1238,2110,23562,2163,52,330,35,2
1239,2123,1843,31,4,3,0,0
1240,2117,3311,345,7,9,0,0
1241,2111,3031,159,30,7,0,1
1242,2126,3018,670,19,6,1,0
1243,2125,2522,62,12,15,0,0
1244,2124,3703,269,11,1,0,0
1245,2127,4297,140,10,19,2,2
1246,2130,7269,66,15,86,8,1
1247,2129,1767,765,15,6,0,0
1248,2128,2646,355,18,10,0,0
1249,2132,44,20,7,4,0,2
1250,2135,756,9,4,1,0,0
1251,2137,3408,116,14,19,1,0
1252,2143,1836,56,17,19,0,2
1253,2139,820,6,9,5,1,0
1254,2140,1656,8,11,11,0,0
1255,2149,5158,832,41,26,1,0
1256,2142,34493,450,436,685,21,18
1257,2136,1644,34,9,9,0,0
1258,2148,843,19,1,3,3,1
1259,2144,2219,199,19,3,5,0
1260,2157,1678,52,13,20,0,0
1261,2151,-1,333,18,19,1,0
1262,2152,2016,17,7,7,2,0
1263,2154,777,5,2,0,0,1
1264,2156,27,75,6,11,0,0
1265,2158,749,47,7,11,1,0
1266,2153,17391,450,27,158,3,2
1267,2150,2637,135,12,15,1,0
1268,2160,15909,1580,70,176,6,2
1269,2162,151530,3436,154,966,26,14
1270,2164,1931,103,15,1,0,0
1271,2163,-1,2431,175,190,7,6
1272,2166,718,28,12,0,1,0
1273,2167,1588,15,6,1,0,0
1274,2171,1084,13,7,5,0,0
1275,2169,22784,152,11,54,10,6
